City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Busselton,AU,65.37,broken clouds,-33.65,115.3333,Observatory Guest House
3,Buchanan,LR,79.56,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
10,Victoria,HK,64.26,light rain,22.2855,114.1577,Mini Hotel Central
12,Paita,PE,67.93,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
16,Kaitangata,NZ,62.22,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
17,Saint-Philippe,RE,73.22,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Rikitea,PF,76.59,overcast clouds,-23.1203,-134.9692,People ThankYou
21,Christchurch,NZ,69.94,clear sky,-43.5333,172.6333,The George
28,Kefalos,GR,62.82,few clouds,36.7453,26.9589,Kokalakis Hotel
30,Ponta Do Sol,PT,65.01,clear sky,32.6667,-17.1,Hotel do Campo
32,Atuona,PF,78.37,overcast clouds,-9.8,-139.0333,Villa Enata
34,Cidreira,BR,64.69,overcast clouds,-30.1811,-50.2056,Hotel Castelo
35,Bambous Virieux,MU,73.22,few clouds,-20.3428,57.7575,Casa Tia Villa
38,Salinas,US,77.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
41,Arraial Do Cabo,BR,75.54,clear sky,-22.9661,-42.0278,Pousada Porto Praia
42,Valdez,EC,78.87,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
43,Hilo,US,76.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
45,Winslow,US,77.18,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
46,Castro,BR,62.89,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
50,Santiago Del Estero,AR,61.75,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
55,Mataura,NZ,63.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
56,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
57,Santa Isabel,BR,74.16,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
58,Vila Do Maio,CV,70.59,clear sky,15.1333,-23.2167,Hotel Marilu
61,Fortuna,US,60.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
65,Dillon,US,73.31,overcast clouds,34.4166,-79.3712,Dillon Express Inn
66,Puerto Ayora,EC,72.41,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Bluff,NZ,63.81,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
72,Hobart,AU,66.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
73,Waddan,LY,60.69,clear sky,29.1614,16.139,محل الشريف محمد العايب
76,Lengshuijiang,CN,62.29,overcast clouds,27.6881,111.4294,Sheraton
77,Vilhena,BR,74.07,overcast clouds,-12.7406,-60.1458,Hotel Mirage
78,Nishihara,JP,65.48,light rain,26.1842,127.7558,Minshuku Agaihama
80,Leninskoye,KZ,71.04,overcast clouds,41.7589,69.3864,Leonid Rakhmanov
83,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
84,Sawtell,AU,71.62,broken clouds,-30.3833,153.1,The Bungalow Sawtell
85,Gat,IL,63.28,few clouds,31.61,34.7642,OlusHome
91,Mogok,MM,75.13,broken clouds,22.9167,96.5,MOGOK HILL HOTEL
97,Namibe,AO,73.67,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
98,Richards Bay,ZA,61.36,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
104,Road Town,VG,78.84,light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
105,New Norfolk,AU,65.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
106,Creel,MX,62.33,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
107,Puerto Ayacucho,VE,75.9,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
109,East London,ZA,60.64,clear sky,-33.0153,27.9116,Tu Casa
110,Buin,CL,64.06,broken clouds,-33.7333,-70.75,Paihuen
118,Ardakan,IR,64.42,clear sky,32.31,54.0175,Ardakan Hotel
121,Bungoma,KE,61.18,overcast clouds,0.5635,34.5606,Eleon Inn Hotel
122,Shingu,JP,64.67,broken clouds,33.7333,135.9833,Shingu UI Hotel
125,Opelousas,US,70.88,light intensity drizzle,30.5335,-92.0815,"Holiday Inn & Suites Opelousas, an IHG Hotel"
130,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
131,Jardim,BR,79.39,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
132,Sao Felix Do Xingu,BR,75.99,broken clouds,-6.6447,-51.995,Rio Xingu Camping
134,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
135,Ribeira Grande,PT,62.24,few clouds,38.5167,-28.7,Quinta da Meia Eira
139,Port Lincoln,AU,64.51,clear sky,-34.7333,135.8667,Port Lincoln Hotel
142,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
143,Huarmey,PE,66.45,overcast clouds,-10.0681,-78.1522,Hotel Miramar
145,Itoman,JP,66.22,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
150,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
151,Bulgan,MN,60.15,scattered clouds,48.8125,103.5347,Unitel Булган салбар
154,Sao Filipe,CV,73.04,clear sky,14.8961,-24.4956,Hotel Xaguate
155,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
157,Hamilton,US,71.04,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
162,Batemans Bay,AU,62.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
169,Komsomolskiy,UZ,66.92,overcast clouds,40.4272,71.7189,Ikathouse
170,Taltal,CL,60.75,scattered clouds,-25.4,-70.4833,Residencial Karime
174,Coahuayana,MX,78.1,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
175,Bathsheba,BB,79.48,overcast clouds,13.2167,-59.5167,Atlantis Hotel
177,Himare,AL,61.09,overcast clouds,40.1017,19.7447,Hotel Dhima
