City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Albany,42.6001,-73.9662,58.17,48,100,2.04,overcast clouds,US,2022-05-02 00:43:19
1,Lebu,-37.6167,-73.65,52.45,90,0,15.1,clear sky,CL,2022-05-02 00:42:42
2,Busselton,-33.65,115.3333,65.37,73,64,2.75,broken clouds,AU,2022-05-02 00:40:57
3,Buchanan,5.8808,-10.0467,79.56,86,100,7.27,moderate rain,LR,2022-05-02 00:51:21
4,Ushuaia,-54.8,-68.3,38.86,81,20,6.91,few clouds,AR,2022-05-02 00:46:30
5,Gualdo Tadino,43.2317,12.781,46.42,86,59,2.13,broken clouds,IT,2022-05-02 00:51:22
6,Thompson,55.7435,-97.8558,26.76,86,100,12.66,overcast clouds,CA,2022-05-02 00:51:22
7,Henties Bay,-22.116,14.2845,62.76,69,0,8.66,clear sky,NA,2022-05-02 00:51:23
8,Hermanus,-34.4187,19.2345,58.8,85,27,9.37,scattered clouds,ZA,2022-05-02 00:48:24
9,Banda Aceh,5.5577,95.3222,82.31,76,100,11.27,overcast clouds,ID,2022-05-02 00:51:23
10,Victoria,22.2855,114.1577,64.26,92,100,8.99,light rain,HK,2022-05-02 00:48:31
11,Namatanai,-3.6667,152.4333,85.32,67,13,7.45,few clouds,PG,2022-05-02 00:51:24
12,Paita,-5.0892,-81.1144,67.93,83,83,13.44,broken clouds,PE,2022-05-02 00:47:27
13,Kruisfontein,-34.0033,24.7314,48.88,88,0,3.98,clear sky,ZA,2022-05-02 00:51:24
14,Necochea,-38.5473,-58.7368,51.69,61,100,8.43,overcast clouds,AR,2022-05-02 00:47:52
15,Port Alfred,-33.5906,26.891,56.17,93,5,7.38,clear sky,ZA,2022-05-02 00:41:18
16,Kaitangata,-46.2817,169.8464,62.22,63,33,4.97,scattered clouds,NZ,2022-05-02 00:51:25
17,Saint-Philippe,-21.3585,55.7679,73.22,84,0,2.89,clear sky,RE,2022-05-02 00:48:17
18,Rikitea,-23.1203,-134.9692,76.59,70,100,6.2,overcast clouds,PF,2022-05-02 00:45:37
19,Pangai,-19.8,-174.35,80.71,83,75,5.75,broken clouds,TO,2022-05-02 00:51:26
20,Upernavik,72.7868,-56.1549,-1.7,89,6,3.65,clear sky,GL,2022-05-02 00:45:46
21,Christchurch,-43.5333,172.6333,69.94,63,4,4.61,clear sky,NZ,2022-05-02 00:49:54
22,Kenai,60.5544,-151.2583,49.03,46,100,11.5,overcast clouds,US,2022-05-02 00:51:27
23,Avarua,-21.2078,-159.775,84.25,70,80,4.61,broken clouds,CK,2022-05-02 00:46:55
24,Cape Town,-33.9258,18.4232,59.11,83,0,5.01,clear sky,ZA,2022-05-02 00:46:47
25,Alingsas,57.9303,12.5335,41.45,87,86,5.41,overcast clouds,SE,2022-05-02 00:51:28
26,Punta Arenas,-53.15,-70.9167,41.11,75,0,6.91,clear sky,CL,2022-05-02 00:46:53
27,Hasaki,35.7333,140.8333,59.29,54,100,13.91,overcast clouds,JP,2022-05-02 00:51:29
28,Kefalos,36.7453,26.9589,62.82,72,20,11.5,few clouds,GR,2022-05-02 00:51:30
29,Aloleng,16.1307,119.7824,85.08,63,99,3.89,overcast clouds,PH,2022-05-02 00:51:30
30,Ponta Do Sol,32.6667,-17.1,65.01,74,0,4.12,clear sky,PT,2022-05-02 00:46:30
31,Bilibino,68.0546,166.4372,23.95,60,46,3.04,scattered clouds,RU,2022-05-02 00:51:31
32,Atuona,-9.8,-139.0333,78.37,81,100,13.0,overcast clouds,PF,2022-05-02 00:41:04
33,Bentiu,9.2333,29.8333,85.12,39,95,6.78,overcast clouds,SS,2022-05-02 00:51:31
34,Cidreira,-30.1811,-50.2056,64.69,72,100,6.64,overcast clouds,BR,2022-05-02 00:51:32
35,Bambous Virieux,-20.3428,57.7575,73.22,94,20,1.14,few clouds,MU,2022-05-02 00:51:32
36,Baykit,61.67,96.37,32.5,66,100,6.82,overcast clouds,RU,2022-05-02 00:51:33
37,Prince Rupert,54.3161,-130.3201,46.49,87,100,27.63,light rain,CA,2022-05-02 00:48:35
38,Salinas,36.6777,-121.6555,77.0,58,0,17.27,clear sky,US,2022-05-02 00:51:34
